,originalTitle,brTitle
3054,Retroactive (1997),Inferno na Estrada (1997)
3055,"Place in the Sun, A (1951)",Um Lugar ao Sol (1951)
3056,Jacob's Ladder (1990),Alucinações do Passado (1990)
3057,Empire Records (1995),Império dos Discos - Uma Loja Muito Louca (1995)
3058,"Bamba, La (1987)",La Bamba (1987)
3059,Ladyhawke (1985),O Feitiço de Áquila (1985)
3060,Lucas (1986),A Inocência do Primeiro Amor (1986)
3061,High Fidelity (2000),Alta Fidelidade (2000)
3062,"Road to El Dorado, The (2000)",O Caminho Para El Dorado (2000)
3063,"Skulls, The (2000)",Sociedade Secreta (2000)
3064,Devil Girl From Mars (1954),A Garota Diabólica de Marte (1954)
3065,El Dorado (1966),El Dorado (1966)
3066,"Hideous Sun Demon, The (1959)","Hideous Sun Demon, The (1959)"
3067,Hook (1991),"Hook, a Volta do Capitão Gancho (1991)"
3068,Horror Express (1972),Expresso do Horror (1972)
3069,My Chauffeur (1986),My Chauffeur (1986)
3070,"Son of the Sheik, The (1926)",O Filho do Sheik (1926)
3071,Torso (1973),Torso (1973)
3072,True Grit (1969),Bravura Indômita (1969)
3073,Roadside Prophets (1992),Os Profetas do Asfalto (1992)
3074,Madame Sousatzka (1988),Madame Sousatzka (1988)
3075,Max Dugan Returns (1983),A Volta de Max Dugan (1983)
3076,Midnight Express (1978),O Expresso da Meia-Noite (1978)
3077,Misery (1990),Louca Obsessão (1990)
3078,Mr. Saturday Night (1992),Mr. Saturday Night - A Arte de Fazer Rir (1992)
3079,Murphy's Romance (1985),O Romance de Murphy (1985)
3080,My Life (1993),Minha Vida (1993)
3081,Solaris (Solyaris) (1972),Solaris (1972)
3082,Network (1976),Rede de Intrigas (1976)
3083,No Way Out (1987),Sem Saída (1987)
3084,North Dallas Forty (1979),Heróis Sem Amanhã (1979)
3085,"Odd Couple, The (1968)",Um Estranho Casal (1968)
3086,"Outlaw Josey Wales, The (1976)","Josey Wales, o Fora da Lei (1976)"
3087,Black and White (1999),Preto e Branco (1999)
3088,Frequency (2000),Alta Frequência (2000)
3089,Ready to Rumble (2000),Prontos Para Detonar (2000)
3090,Return to Me (2000),Feitiço do Coração (2000)
3091,Rules of Engagement (2000),Regras do Jogo (2000)
3092,Joe Gould's Secret (2000),Crônica de uma Certa Nova York (2000)
3093,Me Myself I (2000),Entre Eu e Eu Mesma (2000)
3094,"Bell, Book and Candle (1958)",Sortilégio do Amor (1958)
3095,"End of Violence, The (1997)",O Fim da Violência (1997)
3096,Force 10 from Navarone (1978),Comando 10 de Navarone (1978)
3097,How to Stuff a Wild Bikini (1965),Como Rechear um Biquíni (1965)
3098,Mystery Train (1989),Trem Mistério (1989)
3099,Arthur (1981),"Arthur, o Milionário Sedutor (1981)"
3100,Bachelor Party (1984),A Última Festa de Solteiro (1984)
3101,Parenthood (1989),O Tiro que não Saiu pela Culatra (1989)
3102,Predator (1987),O Predador (1987)
3103,"Prince of Tides, The (1991)",O Príncipe das Marés (1991)
3104,"Postman Always Rings Twice, The (1981)",O Destino Bate à sua Porta (1981)
3105,All the Vermeers in New York (1990),All the Vermeers in New York (1990)
3106,"Actor's Revenge, An (Yukinojô henge) (1963)",A Vingança do Ator (1963)
3107,28 Days (2000),28 Dias (2000)
3108,American Psycho (2000),Psicopata Americano (2000)
3109,Keeping the Faith (2000),Tenha Fé (2000)
3110,Where the Money Is (2000),O Grande Golpe (2000)
3111,East is East (1999),Tradição é Tradição (1999)
3112,"Filth and the Fury, The (2000)",O Lixo e a Fúria (2000)
3113,Passion of Mind (2000),Paixões Paralelas (2000)
3114,Diner (1982),Diner (1982)
3115,Shakes the Clown (1992),Um Palhaço Suspeito (1992)
3116,Cabaret (1972),Cabaret (1972)
3117,What Ever Happened to Baby Jane? (1962),O que Terá Acontecido a Baby Jane? (1962)
3118,Prick Up Your Ears (1987),O Amor Não Tem Sexo (1987)
3119,Auntie Mame (1958),A Mulher do Século (1958)
3120,Guys and Dolls (1955),Eles e Elas (1955)
3121,The Hunger (1983),Fome de Viver (1983)
3122,Marathon Man (1976),Maratona da Morte (1976)
3123,Caddyshack (1980),Clube dos Pilantras (1980)
3124,Gossip (2000),Intrigas (2000)
3125,Love and Basketball (2000),Amor e Basquete (2000)
3126,U-571 (2000),U-571: A Batalha do Atlântico (2000)
3127,"Virgin Suicides, The (1999)",As Virgens Suicidas (1999)
3128,Jennifer 8 (1992),Jennifer 8 - A Próxima Vítima (1992)
3129,Limelight (1952),Luzes da Ribalta (1952)
3130,Committed (2000),Rebelde Até o Fim (2000)
3131,"Crow: Salvation, The (2000)",O Corvo III: A Salvação (2000)
3132,"Flintstones in Viva Rock Vegas, The (2000)",Os Flintstones em Viva Rock Vegas (2000)
3133,Where the Heart Is (2000),Onde Mora o Coração (2000)
3134,"Big Kahuna, The (2000)",A Chave do Sucesso (2000)
3135,Bossa Nova (2000),Miss Simpson (2000)
3136,Smiling Fish and Goat on Fire (1999),Smiling Fish and Goat on Fire (1999)
3137,"Idiots, The (Idioterne) (1998)",Os Idiotas (1998)
3138,Time Code (2000),Time Code (2000)
3139,Carnosaur (1993),Carnossauro (1993)
3140,Carnosaur 2 (1995),Carnossauro 2 (1995)
3141,Carnosaur 3: Primal Species (1996),Criaturas do Terror (1996)
3142,Defying Gravity (1997),Desafiando a Gravidade (1997)
3143,"Hidden, The (1987)",O Escondido (1987)
3144,Two Moon Junction (1988),Toque da Sedução (1988)
3145,Gladiator (2000),Gladiador (2000)
3146,I Dreamed of Africa (2000),África dos Meus Sonhos (2000)
3147,Up at the Villa (2000),Uma Paixão em Florença (2000)
3148,Human Traffic (1999),Human Traffic (1999)
3149,Breathless (1983),A Força do Amor (1983)
3150,"Great Locomotive Chase, The (1956)",O Ataque ao Trem (1956)
3151,The Idolmaker (1980),A Sombra de um Ídolo (1980)
3152,Inferno (1980),A Mansão do Inferno (1980)
3153,"King of Marvin Gardens, The (1972)",O Rei da Ilusão (1972)
3154,"Lords of Flatbush, The (1974)",Os Lordes de Flatbush (1974)
3155,Mr. Mom (1983),Mr. Mom: Dona de Casa por Acaso (1983)
3156,"Time Masters (Maîtres du temps, Les) (1982)",Os Mestres do Tempo (1982)
3157,Battlefield Earth (2000),A Reconquista (2000)
3158,Center Stage (2000),Sob a Luz da Fama (2000)
3159,Held Up (1999),Segura a Onda (1999)
3160,Screwed (2000),Em Maus Lençóis (2000)
3161,Whipped (2000),Eles só Pensam Naquilo (2000)
3162,Hamlet (2000),Hamlet: Vingança e Tragédia (2000)
3163,Anchors Aweigh (1945),Marujos do Amor (1945)
3164,Blue Hawaii (1961),Feitiço Havaiano (1961)
3165,G.I. Blues (1960),Saudades de um Pracinha (1960)
3166,Gypsy (1962),Em Busca de um Sonho (1962)
3167,King Creole (1958),Balada Sangrenta (1958)
3168,On the Town (1949),Um Dia em Nova York (1949)
3169,Pee-wee's Big Adventure (1985),As Grandes Aventuras de Pee-wee (1985)
3170,Regret to Inform (1998),Regret to Inform (1998)
3171,Roustabout (1964),Carrossel de Emoções (1964)
3172,Saludos Amigos (1943),"Alô, Amigos (1943)"
3173,The Slipper and the Rose: The Story of Cinderella (1976),O Sapatinho e a Rosa: A História de Cinderela (1976)
3174,Things Change (1988),As Coisas Mudam (1988)
3175,Honeymoon in Vegas (1992),Lua de Mel a Três (1992)
3176,Dinosaur (2000),Dinossauro (2000)
3177,Loser (2000),O Otário (2000)
3178,Road Trip (2000),Caindo na Estrada (2000)
3179,Small Time Crooks (2000),Trapaceiros (2000)
3180,"Hollywood Knights, The (1980)",Os Cavaleiros de Hollywood (1980)
3181,"Myth of Fingerprints, The (1997)",O Mito das Digitais (1997)
3182,Possession (1981),Possessão (1981)
3183,"Twelve Chairs, The (1970)",Banzé na Rússia (1970)
3184,Mission: Impossible II (2000),Missão: Impossível 2 (2000)
3185,Shanghai Noon (2000),Bater ou Correr (2000)
3186,Better Living Through Circuitry (1999),Better Living Through Circuitry (1999)
3187,8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),8 ½ Mulheres (1999)
3188,Carnival of Souls (1962),O Parque Macabro (1962)
3189,Flying Tigers (1942),Esquadrilha Mortal (1942)
3190,"Gold Rush, The (1925)",Em Busca do Ouro (1925)
3191,"House of Exorcism, The (a.k.a. Lisa and the Devil) (Casa dell'esorcismo, La) (1973)",Lisa e o Diabo (1973)
3192,Monsieur Verdoux (1947),Monsieur Verdoux (1947)
3193,On Her Majesty's Secret Service (1969),007 - Ao Serviço de Sua Majestade (1969)
3194,Seven Days in May (1964),Sete Dias de Maio (1964)
3195,"Spy Who Loved Me, The (1977)",007: O Espião que me Amava (1977)
3196,Vagabond (Sans toit ni loi) (1985),Os Renegados (1985)
3197,Moonraker (1979),007 Contra o Foguete da Morte (1979)
3198,"Man with the Golden Gun, The (1974)",007 Contra o Homem com a Pistola de Ouro (1974)
3199,"King in New York, A (1957)",Um Rei em Nova York (1957)
3200,"Woman of Paris, A (1923)",Casamento ou Luxo (1923)
3201,"Fighting Seabees, The (1944)",Romance dos 7 Mares (1944)
3202,Dark Command (1940),Comando Negro (1940)
3203,Cleo from 5 to 7 (Cléo de 5 à 7) (1962),Cléo das 5 às 7 (1962)
3204,Big Momma's House (2000),Vovó... Zona (2000)
3205,"Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)",O Monstro do Himalaia (1957)
3206,American Gigolo (1980),Gigolô Americano (1980)
3207,"City of the Living Dead (a.k.a. Gates of Hell, The) (Paura nella città dei morti viventi) (1980)",Pavor na Cidade dos Zumbis (1980)
3208,"Endless Summer, The (1966)",Alegria de Verão (1966)
3209,"Guns of Navarone, The (1961)",Os Canhões de Navarone (1961)
3210,Blow-Out (La grande bouffe) (1973),A Comilança (1973)
3211,Quatermass and the Pit (1967),Sepultura para a Eternidade (1967)
3212,Quatermass 2 (Enemy from Space) (1957),A Usina dos Monstros (1957)
3213,Puppet Master III: Toulon's Revenge (1991),A Volta do Mestre dos Brinquedos (1991)
3214,Puppet Master 4 (1993),O Mestre dos Brinquedos 4 (1993)
3215,Puppet Master 5: The Final Chapter (1994),O Mestre dos Brinquedos 5 (1994)
3216,Curse of the Puppet Master (Puppet Master 6: The Curse) (1998),A Maldição dos Brinquedos (1998)
3217,Retro Puppet Master (Puppet Master 7) (1999),Retro Puppet Master (Puppet Master 7) (1999)
3218,Rent-A-Cop (1988),Um Tira de Aluguel (1988)
3219,Romeo and Juliet (1968),Romeu e Julieta (1968)
3220,Stay Tuned (1992),Fique Ligado em Paranoias Parabólicas (1992)
3221,Story of G.I. Joe (1945),Também Somos Seres Humanos (1945)
3222,Blazing Saddles (1974),Banzé no Oeste (1974)
3223,Benji (1974),Benji (1974)
3224,Benji the Hunted (1987),"Benji, um Cão Desafia a Selva (1987)"
3225,For the Love of Benji (1977),O Adorável Benji (1977)
3226,White Christmas (1954),Natal Branco (1954)
3227,Eraserhead (1977),Eraserhead (1977)
3228,Baraka (1992),Baraka - Um Mundo Além das Palavras (1992)
3229,"Man with the Golden Arm, The (1955)",O Homem do Braço de Ouro (1955)
3230,"Decline of Western Civilization, The (1981)","Decline of Western Civilization, The (1981)"
3231,"Decline of Western Civilization Part II: The Metal Years, The (1988)",Os Anos do Heavy Metal - O Declínio da Civilização Ocidental (1988)
3232,For a Few Dollars More (Per qualche dollaro in più) (1965),Por uns Dólares a Mais (1965)
3233,Magnum Force (1973),Magnum 44 (1973)
3234,Blood Simple (1984),Gosto de Sangue (1984)
3235,"Fabulous Baker Boys, The (1989)",Susie e os Baker Boys (1989)
3236,Prizzi's Honor (1985),A Honra do Poderoso Prizzi (1985)
3237,Flatliners (1990),Linha Mortal (1990)
3238,Light Years (Gandahar) (1988),Os Anos de Luz (1988)
3239,Porky's (1982),Porky's: A Casa do Amor e do Riso (1982)
3240,Porky's II: The Next Day (1983),Porky's 2: O Dia Seguinte (1983)
3241,Porky's Revenge (1985),Porky's Contra-Ataca (1985)
3242,Private School (1983),"Uma Escola Muito Especial, para Garotas (1983)"
3243,Class of Nuke 'Em High (1986),Class of Nuke 'Em High (1986)
3244,"Toxic Avenger, The (1985)",O Vingador Tóxico (1985)
3245,"Toxic Avenger, Part II, The (1989)",O Vingador Tóxico 2 (1989)
3246,"Toxic Avenger Part III: The Last Temptation of Toxie, The (1989)",O Vingador Tóxico 3 (1989)
3247,Night of the Creeps (1986),A Noite dos Arrepios (1986)
3248,Predator 2 (1990),O Predador 2: A Caçada Continua (1990)
3249,"Running Man, The (1987)",O Sobrevivente (1987)
3250,Starman (1984),Starman: O Homem das Estrelas (1984)
3251,"Brother from Another Planet, The (1984)",O Irmão que Veio de Outro Planeta (1984)
3252,Alien Nation (1988),Missão Alien (1988)
3253,Mad Max (1979),Mad Max (1979)
3254,"Road Warrior, The (Mad Max 2) (1981)",Mad Max 2: A Caçada Continua (1981)
3255,Mad Max Beyond Thunderdome (1985),Mad Max: Além da Cúpula do Trovão (1985)
3256,Bird on a Wire (1990),Alta Tensão (1990)
3257,Angel Heart (1987),Coração Satânico (1987)
3258,9 1/2 Weeks (Nine 1/2 Weeks) (1986),9 1/2 Semanas de Amor (1986)
3259,Firestarter (1984),Chamas da Vingança (1984)
3260,Sleepwalkers (1992),Sonâmbulos (1992)
3261,Action Jackson (1988),Action Jackson (1988)
3262,Sarafina! (1992),Sarafina! O Som da Liberdade (1992)
3263,Soapdish (1991),Segredos de uma Novela (1991)
3264,"Long Walk Home, The (1990)",Uma História Americana (1990)
3265,Clara's Heart (1988),Clara (1988)
3266,Burglar (1987),A Ladra (1987)
3267,Fatal Beauty (1987),Beleza Fatal (1987)
3268,Gone in 60 Seconds (2000),60 Segundos (2000)
3269,American Pimp (1999),Cafetão Americano (1999)
3270,Love's Labour's Lost (2000),Amores Perdidos (2000)
3271,Sunshine (1999),Sunshine - O Despertar de um Século (1999)
3272,Trixie (2000),Trixie (2000)
3273,American Virgin (2000),American Virgin (2000)
3274,Hamlet (1990),Hamlet (1990)
3275,Coming Home (1978),Amargo Regresso (1978)
3276,American Pop (1981),American Pop (1981)
3277,Assault on Precinct 13 (1976),Trovão das Ruas (1976)
3278,Near Dark (1987),Quando Chega a Escuridão (1987)
3279,One False Move (1992),Um Passo em Falso (1992)
3280,Shaft (1971),Shaft (1971)
3281,"Conversation, The (1974)",A Conversação (1974)
3282,Cutter's Way (1981),Obstinação (1981)
3283,"Fury, The (1978)",A Fúria (1978)
3284,"Paper Chase, The (1973)",O Homem que Eu Escolhi (1973)
3285,Prince of the City (1981),O Príncipe da Cidade (1981)
3286,Serpico (1973),Serpico (1973)
3287,"Ace in the Hole (Big Carnival, The) (1951)",A Montanha dos Sete Abutres (1951)
3288,Lonely Are the Brave (1962),Sua Última Façanha (1962)
3289,"Sugarland Express, The (1974)",A Louca Escapada (1974)
3290,Trouble in Paradise (1932),Ladrão de Alcova (1932)
3291,Big Trouble in Little China (1986),Os Aventureiros do Bairro Proibido (1986)
3292,Badlands (1973),Terra de Ninguém (1973)
3293,Battleship Potemkin (1925),O Encouraçado Potemkin (1925)
3294,Boys and Girls (2000),Amor ou Amizade (2000)
3295,Shaft (2000),Shaft (2000)
3296,Titan A.E. (2000),Titan A.E. (2000)
3297,Butterfly (La lengua de las mariposas) (1999),A Língua das Mariposas (1999)
3298,Jesus' Son (1999),O Filho de Jesus (1999)
3299,"Time Regained (Temps retrouvé, Le) (1999)",O Tempo Redescoberto (1999)
3300,Chicken Run (2000),A Fuga das Galinhas (2000)
3301,"Me, Myself & Irene (2000)","Eu, Eu Mesmo e Irene (2000)"
3302,"Patriot, The (2000)",O Patriota (2000)
3303,"Adventures of Rocky and Bullwinkle, The (2000)",As Aventuras de Alceu e Dentinho (2000)
3304,"Perfect Storm, The (2000)",Mar em Fúria (2000)
3305,"Golden Bowl, The (2000)",A Taça de Ouro (2000)
3306,Asylum (1972),Asilo Sinistro (1972)
3307,Communion (1989),Estranhos Visitantes (1989)
3308,Fun and Fancy Free (1947),Como é Bom se Divertir (1947)
3309,"Kentucky Fried Movie, The (1977)","Kentucky Fried Movie, The (1977)"
3310,"Blood In, Blood Out (1993)",Compromisso de Sangue (1993)
3311,F/X (1986),F/X: Assassinato sem Morte (1986)
3312,F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion) (1991),F/X2: Ilusão Fatal (1991)
3313,"Hot Spot, The (1990)",Um Local Muito Quente (1990)
3314,Missing in Action (1984),Braddock: O Super Comando (1984)
3315,Missing in Action 2: The Beginning (1985),Braddock 2: O Início da Missão (1985)
3316,Braddock: Missing in Action III (1988),Braddock 3: O Resgate (1988)
3317,Thunderbolt and Lightfoot (1974),O Último Golpe (1974)
3318,Dreamscape (1984),Morte nos Sonhos (1984)
3319,The Golden Voyage of Sinbad (1973),As Novas Viagens de Simbad (1973)
3320,House Party (1990),Uma Festa de Arromba (1990)
3321,House Party 2 (1991),Uma Festa de Arromba 2: O Baile do Pijama (1991)
3322,Make Mine Music (1946),"Música, Maestro! (1946)"
3323,Melody Time (1948),Cante Com Disney (1948)
3324,Nekromantik (1987),Nekromantik (1987)
3325,Rocketship X-M (1950),Da Terra à Lua (1950)
3326,Shaft in Africa (1973),Shaft na África (1973)
3327,Shaft's Big Score! (1972),O Grande Golpe de Shaft (1972)
3328,Croupier (1998),Crupiê: A Vida em Jogo (1998)
3329,"Kid, The (2000)",Duas Vidas (2000)
3330,Scary Movie (2000),Todo Mundo em Pânico (2000)
3331,But I'm a Cheerleader (1999),Nunca Fui Santa (1999)
3332,Shower (Xizao) (1999),Banhos (1999)
3333,Blow-Up (Blowup) (1966),Blow-Up - Depois Daquele Beijo (1966)
3334,"Pawnbroker, The (1964)",O Homem do Prego (1964)
3335,Groove (2000),A Festa Rave (2000)
3336,Footloose (1984),Footloose (1984)
3337,Duel in the Sun (1946),Duelo ao Sol (1946)
3338,X-Men (2000),X-Men: O Filme (2000)
3339,Chuck & Buck (2000),Chuck & Buck: O Passado te Persegue (2000)
3340,"Five Senses, The (1999)",Os Cinco Sentidos (1999)
3341,"Wisdom of Crocodiles, The (a.k.a. Immortality) (2000)","Wisdom of Crocodiles, The (a.k.a. Immortality) (2000)"
3342,"In Crowd, The (2000)",Falsas Intenções (2000)
3343,What Lies Beneath (2000),Revelação (2000)
3344,Pokémon the Movie 2000 (2000),Pokémon: O Filme 2000 (2000)
3345,Criminal Lovers (1999),Criminal Lovers (1999)
3346,Anatomy of a Murder (1959),Anatomia de um Crime (1959)
3347,Freejack (1992),Freejack: Os Imortais (1992)
3348,H.O.T.S. (1979),H.O.T.S. (1979)
3349,Knightriders (1981),Os Cavaleiros Da Noite (1981)
3350,Mackenna's Gold (1969),O Ouro de Mackenna (1969)
3351,Sinbad and the Eye of the Tiger (1977),Simbad Contra o Olho do Tigre (1977)
3352,"Two Women (Ciociara, La) (1960)",Duas Mulheres (1960)
3353,What About Bob? (1991),Nosso Querido Bob (1991)
3354,White Sands (1992),Areias Brancas (1992)
3355,Breaker Morant (1980),Breaker Morant (1980)
3356,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),"Tudo o que Você Sempre quis Saber Sobre Sexo, mas Tinha Medo de Perguntar (1972)"
3357,Interiors (1978),Interiores (1978)
3358,Love and Death (1975),A Última Noite de Bóris Grushenko (1975)
3359,"Official Story, The (La historia oficial) (1985)",A História Oficial (1985)
3360,"Other Side of Sunday, The (Søndagsengler) (1996)",O Outro Lado do Domingo (1996)
3361,Tampopo (1985),Tampopo: Os Brutos Também Comem Spaghetti (1985)
3362,Thomas and the Magic Railroad (2000),Thomas e a Ferrovia Mágica (2000)
3363,Nutty Professor II: The Klumps (2000),O Professor Aloprado 2: A Familia Klump (2000)
3364,"Girl on the Bridge, The (Fille sur le pont, La) (1999)",A Garota Sobre a Ponte (1999)
3365,Wonderland (1999),Encontros e Desencontros (1999)
3366,Autumn in New York (2000),Outono em Nova York (2000)
3367,Coyote Ugly (2000),Show Bar (2000)
3368,Hollow Man (2000),O Homem sem Sombra (2000)
3369,Space Cowboys (2000),Cowboys do Espaço (2000)
3370,Psycho Beach Party (2000),Horror na Praia Psicodélica (2000)
3371,Saving Grace (2000),O Barato de Grace (2000)
3372,"Black Sabbath (Tre volti della paura, I) (1963)",As Três Máscaras do Terror (1963)
3373,"Brain That Wouldn't Die, The (1962)",O Cérebro Que Não Poderia Morrer (1962)
3374,Bronco Billy (1980),Bronco Billy (1980)
3375,"Crush, The (1993)",Paixão sem Limite (1993)
3376,Kelly's Heroes (1970),Os Guerreiros Pilantras (1970)
3377,Phantasm II (1988),Fantasma 2 (1988)
3378,Phantasm III: Lord of the Dead (1994),Fantasma 3: O Senhor da Morte (1994)
3379,Phantasm IV: Oblivion (1998),Fantasma 4: O Pesadelo Continua (1998)
3380,Pumpkinhead (1988),Sangue Demoníaco (1988)
3381,Air America (1990),Air America: Loucos Pelo Perigo (1990)
3382,Sleepaway Camp (1983),Acampamento Sinistro (1983)
3383,Steel Magnolias (1989),Flores de Aço (1989)
3384,And God Created Woman (Et Dieu... créa la femme) (1956),E Deus Criou a Mulher (1956)
3385,Easy Money (1983),Tudo por uma Herança (1983)
3386,"Ilsa, She Wolf of the SS (1974)","Ilsa, a Guardiã Perversa da SS (1974)"
3387,Silent Fall (1994),Testemunha do silêncio (1994)
3388,The Spiral Staircase (1945),No Silêncio das Trevas (1945)
3389,I'm the One That I Want (2000),I'm the One That I Want (2000)
3390,"Tao of Steve, The (2000)","Tao of Steve, The (2000)"
3391,Aimée & Jaguar (1999),Aimée e Jaguar (1999)
3392,"Affair of Love, An (Liaison pornographique, Une) (1999)",Uma Ligação Pornográfica (1999)
3393,Bless the Child (2000),A Filha da Luz (2000)
3394,Cecil B. DeMented (2000),Cecil Bem Demente (2000)
3395,"Eyes of Tammy Faye, The (2000)","Eyes of Tammy Faye, The (2000)"
3396,"Opportunists, The (2000)",Os Oportunistas (2000)
3397,"Replacements, The (2000)",Virando o Jogo (2000)
3398,About Adam (2000),As Mulheres de Adam (2000)
3399,"Cell, The (2000)",A Cela (2000)
3400,Godzilla 2000 (Gojira ni-sen mireniamu) (1999),Godzilla 2000 (1999)
3401,"Original Kings of Comedy, The (2000)",Os Verdadeiros Reis da Comédia (2000)
3402,All the Rage (It's the Rage) (1999),Fúria Urbana (1999)
3403,"Naked Gun: From the Files of Police Squad!, The (1988)",Corra que a Polícia vem Aí! (1988)
3404,"Naked Gun 2 1/2: The Smell of Fear, The (1991)",Corra que a Polícia vem Aí! 2 1/2 (1991)
3405,Our Town (1940),Nossa Cidade (1940)
3406,Shane (1953),Os Brutos Também Amam (1953)
3407,"Suddenly, Last Summer (1959)","De Repente, no Último Verão (1959)"
3408,Cat Ballou (1965),Dívida de Sangue (1965)
3409,"Couch in New York, A (1996)",Um Divã em Nova York (1996)
3410,"Devil Rides Out, The (1968)",As Bodas de Satã (1968)
3411,Jerry and Tom (1998),Morte a Sangue Frio (1998)
3412,Supergirl (1984),Supergirl (1984)
3413,X: The Unknown (1956),O Estranho de um Mundo Perdido (1956)
3414,"Art of War, The (2000)",A Arte da Guerra (2000)
3415,"Ballad of Ramblin' Jack, The (2000)","Ballad of Ramblin' Jack, The (2000)"
3416,Phish: Bittersweet Motel (2000),Phish: Bittersweet Motel (2000)
3417,Bring It On (2000),Teenagers: As Apimentadas (2000)
3418,Catfish in Black Bean Sauce (2000),Catfish in Black Bean Sauce (2000)
3419,"Crew, The (2000)",Mafiosos em Apuros (2000)
3420,Love & Sex (2000),Amor aos Pedaços (2000)
3421,Steal This Movie! (2000),Steal This Movie! (2000)
3422,Skipped Parts (2000),Adolescência Perdida (2000)
3423,Highlander: Endgame (Highlander IV) (2000),Highlander: A Batalha Final (2000)
3424,Anatomy (Anatomie) (2000),Anatomia (2000)
3425,Nurse Betty (2000),A Enfermeira Betty (2000)
3426,Solas (1999),Solas (1999)
3427,"Watcher, The (2000)",O Observador (2000)
3428,"Way of the Gun, The (2000)",A Sangue Frio (2000)
3429,Almost Famous (2000),Quase Famosos (2000)
3430,Bait (2000),A Isca (2000)
3431,Circus (2000),Um Jogo Duplo (2000)
3432,Crime and Punishment in Suburbia (2000),Crime e Castigo (2000)
3433,Duets (2000),Duets: Vem Cantar Comigo (2000)
3434,Goya in Bordeaux (Goya en Burdeos) (1999),Goya en Burdeos (1999)
3435,Urbania (2000),Urbania - A Vida na Cidade (2000)
3436,"Specials, The (2000)",Os Especiais (2000)
3437,Under Suspicion (2000),Sob Suspeita (2000)
3438,Urban Legends: Final Cut (2000),Lendas Urbanas 2 (2000)
3439,Woman on Top (2000),Sabor da Paixão (2000)
3440,Dancer in the Dark (2000),Dançando no Escuro (2000)
3441,Best in Show (2000),O Melhor do Show (2000)
3442,Beautiful (2000),A Mais Bela (2000)
3443,Barenaked in America (1999),Barenaked in America (1999)
3444,"Broken Hearts Club, The (2000)",O Clube dos Corações Partidos (2000)
3445,Girlfight (2000),Boa de Briga (2000)
3446,Remember the Titans (2000),Duelo de Titãs (2000)
3447,Hellraiser (1987),Hellraiser: Renascido do Inferno (1987)
3448,Hellbound: Hellraiser II (1988),Renascido do Inferno 2 (1988)
3449,Hellraiser III: Hell on Earth (1992),Hellraiser III: Inferno na Terra (1992)
3450,"Faraway, So Close (In weiter Ferne, so nah!) (1993)","Tão Longe, Tão Perto (1993)"
3451,Beach Party (1963),A Praia dos Amores (1963)
3452,Bikini Beach (1964),A Praia dos Biquínis (1964)
3453,Return of the Fly (1959),O Monstro de Mil Olhos (1959)
3454,Pajama Party (1964),"Eu, Ela E o Pijama (1964)"
3455,Stranger Than Paradise (1984),Estranhos no Paraíso (1984)
3456,Voyage to the Bottom of the Sea (1961),Viagem ao Fundo do Mar (1961)
3457,Fantastic Voyage (1966),Viagem Fantástica (1966)
3458,Abbott and Costello Meet Frankenstein (1948),Abbott & Costello Encontram Frankenstein (1948)
3459,"Bank Dick, The (1940)",O Guarda (1940)
3460,"Creature from the Black Lagoon, The (1954)",O Monstro da Lagoa Negra (1954)
3461,"Giant Gila Monster, The (1959)",O Monstro Gigante de Gila (1959)
3462,"Invisible Man, The (1933)",O Homem Invisível (1933)
3463,"Killer Shrews, The (1959)","Killer Shrews, The (1959)"
3464,Kronos (1957),"Kronos, O Monstro do Espaço (1957)"
3465,Phantom of the Opera (1943),O Fantasma da Ópera (1943)
3466,Runaway (1984),Runaway: Fora de Controle (1984)
3467,"Slumber Party Massacre, The (1982)",Slumber Party - O Massacre (1982)
3468,Slumber Party Massacre II (1987),Massacre 2 (1987)
3469,Slumber Party Massacre III (1990),Slumber Party - O Massacre III (1990)
3470,Sorority House Massacre (1986),Mansão da Morte (1986)
3471,Sorority House Massacre II (1990),Frenzy Night: Quando o Sonho Vira Pesadelo (1990)
3472,Bamboozled (2000),A Hora do Show (2000)
3473,Bootmen (2000),"Dança, Paixão e Fama (2000)"
3474,Digimon: The Movie (2000),Digimon: O Filme (2000)
3475,Get Carter (2000),O Implacável (2000)
3476,Get Carter (1971),"Carter, o Vingador (1971)"
3477,Meet the Parents (2000),Entrando numa Fria (2000)
3478,Requiem for a Dream (2000),Réquiem para um Sonho (2000)
3479,Tigerland (2000),Tigerland - A Caminho da Guerra (2000)
3480,Two Family House (2000),Two Family House (2000)
3481,"Contender, The (2000)",A Conspiração (2000)
3482,Dr. T and the Women (2000),Dr. T e as Mulheres (2000)
3483,"Ladies Man, The (2000)",O Tigrão (2000)
3484,Lost Souls (2000),Dominação (2000)
3485,Billy Jack (1971),Billy Jack (1971)
3486,Billy Jack Goes to Washington (1977),Billy Jack Goes to Washington (1977)
3487,"Time Machine, The (1960)",A Máquina do Tempo (1960)
3488,Haunted (1995),Ilusões Perigosas (1995)
3489,Ghoulies (1985),Ghoulies (1985)
3490,Ghoulies II (1987),Ghoulies 2 (1987)
